deces_annee,sexe,deces_dep,n
2017,1,01,68
2017,1,02,63
2017,1,03,41
2017,1,04,18
2017,1,05,23
2017,1,06,118
2017,1,07,45
2017,1,08,24
2017,1,09,31
2017,1,10,42
2017,1,11,55
2017,1,12,36
2017,1,13,157
2017,1,14,82
2017,1,15,35
2017,1,16,51
2017,1,17,97
2017,1,18,50
2017,1,19,33
2017,1,21,63
2017,1,22,72
2017,1,23,16
2017,1,24,60
2017,1,25,56
2017,1,26,59
2017,1,27,56
2017,1,28,54
2017,1,29,104
2017,1,2A,21
2017,1,2B,33
2017,1,30,81
2017,1,31,112
2017,1,32,36
2017,1,33,174
2017,1,34,157
2017,1,35,81
2017,1,36,37
2017,1,37,87
2017,1,38,116
2017,1,39,28
2017,1,40,66
2017,1,41,59
2017,1,42,88
2017,1,43,36
2017,1,44,108
2017,1,45,54
2017,1,46,43
2017,1,47,53
2017,1,48,18
2017,1,49,91
2017,1,50,92
2017,1,51,38
2017,1,52,13
2017,1,53,28
2017,1,54,69
2017,1,55,19
2017,1,56,90
2017,1,57,81
2017,1,58,34
2017,1,59,285
2017,1,60,82
2017,1,61,53
2017,1,62,214
2017,1,63,108
2017,1,64,84
2017,1,65,43
2017,1,66,77
2017,1,67,122
2017,1,68,77
2017,1,69,166
2017,1,70,34
2017,1,71,73
2017,1,72,83
2017,1,73,77
2017,1,74,78
2017,1,75,252
2017,1,76,145
2017,1,77,90
2017,1,78,120
2017,1,79,58
2017,1,80,99
2017,1,81,39
2017,1,82,37
2017,1,83,118
2017,1,84,71
2017,1,85,68
2017,1,86,59
2017,1,87,45
2017,1,88,32
2017,1,89,54
2017,1,90,12
2017,1,91,121
2017,1,92,106
2017,1,93,109
2017,1,94,170
2017,1,95,100
2017,1,971,54
2017,1,972,44
2017,1,973,26
2017,1,974,74
2017,1,976,12
2017,1,NA,2094
2017,2,,24
2017,2,01,71
2017,2,02,78
2017,2,03,40
2017,2,04,30
2017,2,05,14
2017,2,06,124
2017,2,07,43
2017,2,08,32
2017,2,09,29
2017,2,10,46
2017,2,11,49
2017,2,12,29
2017,2,13,210
2017,2,14,104
2017,2,15,31
2017,2,16,61
2017,2,17,89
2017,2,18,42
2017,2,19,43
2017,2,21,52
2017,2,22,90
2017,2,23,26
2017,2,24,84
2017,2,25,35
2017,2,26,63
2017,2,27,51
2017,2,28,39
2017,2,29,120
2017,2,2A,27
2017,2,2B,20
2017,2,30,76
2017,2,31,102
2017,2,32,37
2017,2,33,170
2017,2,34,161
2017,2,35,93
2017,2,36,38
2017,2,37,63
2017,2,38,124
2017,2,39,30
2017,2,40,57
2017,2,41,55
2017,2,42,90
2017,2,43,37
2017,2,44,122
2017,2,45,73
2017,2,46,35
2017,2,47,56
2017,2,48,20
2017,2,49,79
2017,2,50,64
2017,2,51,64
2017,2,52,18
2017,2,53,39
2017,2,54,68
2017,2,55,15
2017,2,56,79
2017,2,57,80
2017,2,58,41
2017,2,59,323
2017,2,60,81
2017,2,61,47
2017,2,62,234
2017,2,63,93
2017,2,64,86
2017,2,65,41
2017,2,66,95
2017,2,67,125
2017,2,68,82
2017,2,69,192
2017,2,70,34
2017,2,71,90
2017,2,72,85
2017,2,73,44
2017,2,74,68
2017,2,75,240
2017,2,76,137
2017,2,77,128
2017,2,78,126
2017,2,79,67
2017,2,80,99
2017,2,81,56
2017,2,82,31
2017,2,83,112
2017,2,84,78
2017,2,85,70
2017,2,86,59
2017,2,87,49
2017,2,88,30
2017,2,89,61
2017,2,90,10
2017,2,91,114
2017,2,92,158
2017,2,93,107
2017,2,94,157
2017,2,95,88
2017,2,971,44
2017,2,972,38
2017,2,973,20
2017,2,974,48
2017,2,976,17
2017,2,NA,1460
2018,1,,427
2018,1,01,2149
2018,1,02,2714
2018,1,03,2254
2018,1,04,874
2018,1,05,775
2018,1,06,5880
2018,1,07,1668
2018,1,08,1288
2018,1,09,843
2018,1,10,1521
2018,1,11,2189
2018,1,12,1622
