deces_annee,sexe,age,deces_dep,n
2003,2,92,67,1
2003,2,92,974,1
2003,2,92,NA,1
2003,2,93,NA,2
2003,2,95,NA,1
2003,2,96,NA,1
2003,2,97,NA,2
2004,1,25,NA,1
2004,1,33,NA,1
2004,1,37,NA,1
2004,1,42,NA,1
2004,1,45,NA,1
2004,1,46,NA,1
2004,1,48,NA,1
2004,1,54,NA,1
2004,1,55,NA,2
2004,1,57,NA,2
2004,1,61,NA,1
2004,1,62,NA,1
2004,1,65,NA,1
2004,1,67,976,1
2004,1,67,NA,1
2004,1,69,NA,2
2004,1,70,NA,1
2004,1,71,07,1
2004,1,72,NA,2
2004,1,77,NA,1
2004,1,79,NA,1
2004,1,83,NA,1
2004,1,86,NA,1
2004,1,89,NA,1
2004,1,90,NA,1
2004,1,93,NA,1
2004,2,28,NA,1
2004,2,31,NA,1
2004,2,41,NA,1
2004,2,45,NA,1
2004,2,51,NA,1
2004,2,71,976,1
2004,2,71,NA,1
2004,2,76,NA,1
2004,2,83,NA,2
2004,2,84,NA,1
2004,2,85,NA,2
2004,2,87,974,1
2004,2,87,NA,1
2004,2,89,80,1
2004,2,89,84,1
2004,2,89,NA,2
2004,2,90,974,1
2004,2,91,NA,1
2004,2,93,38,1
2004,2,93,84,1
2004,2,93,NA,4
2004,2,94,NA,1
2004,2,98,78,1
2004,2,98,83,1
2004,2,98,NA,1
2005,1,0,NA,1
2005,1,8,NA,1
2005,1,18,NA,1
2005,1,19,NA,1
2005,1,22,NA,1
2005,1,26,NA,1
2005,1,32,NA,1
2005,1,36,89,1
2005,1,39,NA,1
2005,1,40,92,1
2005,1,46,NA,1
2005,1,47,NA,2
2005,1,48,NA,1
2005,1,49,NA,1
2005,1,55,NA,1
2005,1,57,NA,1
2005,1,58,NA,2
2005,1,61,NA,1
2005,1,63,NA,2
2005,1,65,NA,3
2005,1,66,NA,1
2005,1,67,NA,1
2005,1,68,NA,1
2005,1,70,NA,1
2005,1,71,NA,1
2005,1,73,35,1
2005,1,76,06,1
2005,1,77,NA,2
2005,1,83,NA,1
2005,1,84,NA,1
2005,1,86,NA,1
2005,1,88,65,1
2005,1,88,NA,1
2005,1,89,NA,1
2005,1,95,NA,1
2005,1,101,NA,1
2005,2,0,NA,1
2005,2,1,NA,1
2005,2,41,NA,1
2005,2,51,NA,1
2005,2,52,73,1
2005,2,52,NA,1
2005,2,55,NA,1
2005,2,57,NA,1
2005,2,59,NA,1
2005,2,60,NA,1
2005,2,70,NA,1
2005,2,75,NA,1
2005,2,76,NA,1
2005,2,78,NA,1
2005,2,79,NA,1
2005,2,80,NA,1
2005,2,82,NA,1
2005,2,86,39,1
2005,2,92,30,1
2005,2,94,NA,1
2005,2,96,NA,1
2005,2,100,NA,1
2006,1,7,NA,1
2006,1,14,NA,1
2006,1,25,NA,1
2006,1,36,NA,2
2006,1,37,NA,1
2006,1,38,NA,1
2006,1,42,NA,1
2006,1,44,NA,1
2006,1,47,NA,1
2006,1,48,NA,1
2006,1,49,NA,1
2006,1,50,NA,1
2006,1,52,17,1
2006,1,52,NA,1
2006,1,55,04,1
2006,1,55,NA,2
2006,1,56,NA,2
2006,1,61,NA,1
2006,1,62,NA,4
2006,1,63,NA,4
2006,1,65,NA,1
2006,1,66,NA,1
2006,1,72,NA,2
2006,1,73,NA,1
2006,1,74,NA,1
2006,1,76,NA,1
2006,1,81,NA,1
2006,1,86,NA,1
2006,1,90,NA,1
2006,1,92,NA,1
2006,2,23,NA,1
2006,2,41,NA,1
2006,2,43,NA,1
2006,2,45,NA,1
2006,2,51,69,1
2006,2,51,NA,2
2006,2,53,33,1
2006,2,56,NA,2
2006,2,57,NA,1
2006,2,67,NA,1
2006,2,68,NA,1
2006,2,72,NA,1
2006,2,79,NA,1
2006,2,81,NA,1
2006,2,84,67,1
2006,2,85,NA,1
2006,2,87,NA,1
2006,2,92,13,1
2006,2,92,NA,1
2006,2,100,13,1
2007,1,0,NA,5
2007,1,3,NA,1
2007,1,20,NA,1
2007,1,21,NA,2
2007,1,25,NA,1
2007,1,26,974,1
2007,1,27,NA,1
2007,1,34,14,1
2007,1,35,NA,1
2007,1,38,NA,1
2007,1,41,NA,2
2007,1,49,32,1
2007,1,49,NA,1
2007,1,51,974,1
2007,1,51,NA,1
2007,1,53,NA,1
2007,1,55,NA,1
2007,1,59,NA,1
2007,1,61,61,1
2007,1,61,88,1
2007,1,61,NA,1
2007,1,64,NA,1
2007,1,65,80,1
2007,1,68,NA,3
2007,1,70,NA,1
2007,1,72,NA,1
2007,1,73,NA,1
2007,1,74,NA,1
2007,1,76,NA,1
2007,1,78,NA,4
2007,1,81,NA,1
2007,1,87,NA,1
2007,2,0,NA,1
2007,2,32,NA,1
2007,2,34,NA,1
2007,2,42,NA,1
2007,2,48,NA,1
2007,2,49,NA,2
2007,2,50,NA,1
2007,2,67,NA,1
2007,2,68,NA,1
2007,2,74,NA,1
2007,2,75,NA,1
2007,2,76,NA,1
2007,2,77,NA,1
2007,2,80,NA,1
2007,2,86,NA,1
2007,2,88,NA,1
2007,2,95,40,1
2008,1,23,NA,1
2008,1,25,NA,1
2008,1,37,NA,1
2008,1,42,NA,1
2008,1,43,NA,1
2008,1,44,NA,2
2008,1,45,NA,1
2008,1,51,NA,2
2008,1,52,NA,2
2008,1,53,NA,2
2008,1,54,NA,2
2008,1,55,80,1
2008,1,57,NA,1
2008,1,60,NA,2
2008,1,61,NA,1
2008,1,62,NA,1
2008,1,63,NA,2
2008,1,64,NA,2
2008,1,65,NA,1
2008,1,68,NA,1
2008,1,70,NA,2
2008,1,72,NA,2
2008,1,73,NA,1
2008,1,74,NA,2
2008,1,76,NA,1
2008,1,81,80,1
2008,1,81,NA,2
2008,1,83,NA,1
2008,1,85,64,1
2008,1,86,NA,1
2008,1,87,34,1
2008,1,87,83,1
2008,1,87,NA,1
2008,1,89,NA,1
2008,2,0,NA,2
2008,2,22,NA,1
2008,2,24,NA,1
2008,2,25,NA,1
2008,2,40,NA,1
2008,2,41,NA,1
2008,2,43,NA,1
2008,2,44,NA,1
2008,2,46,NA,1
2008,2,51,NA,1
2008,2,55,NA,2
2008,2,56,76,1
2008,2,56,NA,1
2008,2,58,62,1
2008,2,63,NA,2
2008,2,68,83,1
2008,2,70,NA,1
2008,2,72,75,1
2008,2,78,80,1
2008,2,79,NA,1
2008,2,80,NA,1
2008,2,81,83,1
2008,2,81,91,1
2008,2,81,NA,1
2008,2,83,NA,1
2008,2,85,NA,2
2008,2,86,974,1
2008,2,86,NA,1
2008,2,88,972,1
2008,2,88,NA,2
2008,2,89,NA,1
2008,2,90,NA,1
2008,2,92,NA,1
2008,2,93,NA,1
2008,2,94,NA,1
2008,2,95,976,1
2008,2,95,NA,1
2008,2,96,NA,1
2008,2,97,40,1
2008,2,100,33,1
2009,1,3,NA,1
2009,1,20,NA,1
2009,1,21,34,1
2009,1,21,NA,2
2009,1,22,NA,3
2009,1,25,NA,1
2009,1,29,NA,2
2009,1,36,NA,1
2009,1,37,NA,1
2009,1,39,NA,1
2009,1,40,NA,2
2009,1,42,NA,1
2009,1,45,NA,1
2009,1,48,NA,1
2009,1,49,NA,2
2009,1,50,NA,1
2009,1,52,NA,1
2009,1,56,92,1
2009,1,57,NA,1
2009,1,59,NA,1
2009,1,61,75,1
2009,1,62,NA,1
2009,1,63,NA,1
2009,1,64,NA,3
2009,1,65,NA,1
2009,1,67,NA,5
2009,1,68,NA,1
2009,1,69,NA,1
2009,1,70,NA,1
2009,1,71,NA,1
2009,1,72,NA,1
2009,1,73,NA,1
2009,1,75,NA,1
2009,1,77,NA,2
2009,1,78,NA,2
2009,1,80,NA,1
2009,1,81,NA,1
2009,1,83,976,1
2009,1,85,NA,2
2009,2,1,NA,1
2009,2,19,NA,1
2009,2,37,NA,1
2009,2,39,NA,1
2009,2,42,NA,1
2009,2,52,NA,2
2009,2,55,NA,1
2009,2,56,80,1
2009,2,58,NA,2
2009,2,60,NA,2
2009,2,63,NA,1
2009,2,67,NA,1
2009,2,69,NA,3
2009,2,70,NA,1
2009,2,73,95,1
2009,2,73,NA,1
2009,2,75,NA,1
2009,2,79,NA,2
2009,2,81,NA,2
2009,2,84,NA,1
2009,2,86,NA,1
2009,2,89,76,1
2009,2,90,NA,1
2009,2,92,NA,1
2009,2,93,NA,2
2009,2,NA,95,1
2010,1,2,NA,2
2010,1,6,NA,1
2010,1,9,NA,1
2010,1,12,NA,1
2010,1,19,NA,1
2010,1,20,NA,1
2010,1,21,NA,1
2010,1,25,NA,2
2010,1,29,NA,3
2010,1,32,NA,1
2010,1,36,NA,1
2010,1,37,NA,3
2010,1,40,NA,1
2010,1,41,NA,4
2010,1,43,NA,1
2010,1,48,NA,1
