SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
lmnh	32.00	2	2000	30404491.5	8149	7807	8506	14.7	14	15.3	20.1	19.3	21	26.8	25.7	28
lmnh	32.00	2	2001	30631830.5	8415	8065	8780	14.9	14.2	15.5	20.4	19.5	21.3	27.5	26.3	28.7
lmnh	32.00	2	2002	30860462.5	8675	8319	9047	15	14.4	15.7	20.7	19.8	21.5	28.1	27	29.3
lmnh	32.00	2	2003	31083389.5	8923	8562	9303	15.2	14.6	15.8	20.9	20	21.8	28.7	27.5	29.9
lmnh	32.00	2	2004	31319326	9176	8806	9566	15.3	14.7	16	21.1	20.2	22	29.3	28.1	30.5
lmnh	32.00	2	2005	31565612.5	9437	9054	9835	15.4	14.8	16.1	21.2	20.4	22.1	29.9	28.7	31.2
lmnh	32.00	2	2006	31781491	9670	9280	10077	15.5	14.9	16.2	21.4	20.5	22.3	30.4	29.2	31.7
lmnh	32.00	2	2007	31963889.5	9887	9489	10295	15.6	15	16.3	21.5	20.6	22.4	30.9	29.7	32.2
lmnh	32.00	2	2008	32134197	10091	9692	10504	15.6	15	16.3	21.6	20.7	22.5	31.4	30.2	32.7
lmnh	32.00	2	2009	32292780	10286	9886	10705	15.7	15.1	16.3	21.7	20.8	22.6	31.9	30.6	33.2
lmnh	32.00	2	2010	32442000.5	10484	10078	10908	15.7	15.1	16.4	21.8	20.9	22.6	32.3	31.1	33.6
lmnh	32.00	2	2011	32596758.5	10687	10272	11119	15.8	15.2	16.4	21.8	21	22.7	32.8	31.5	34.1
lmnh	32.00	2	2012	32754328.5	10892	10463	11336	15.8	15.2	16.5	21.9	21	22.8	33.3	31.9	34.6
lmnh	32.00	2	2013	32917445	11102	10659	11564	15.9	15.2	16.5	22	21.1	22.9	33.7	32.4	35.1
lmnh	32.00	2	2014	33078234.5	11322	10859	11804	15.9	15.2	16.6	22.1	21.1	23	34.2	32.8	35.7
lmnh	32.00	2	2015	33219169.5	11535	11050	12042	16	15.3	16.7	22.1	21.2	23.1	34.7	33.3	36.3
lmnh	32.00	2	2016	33346795	11745	11235	12281	16	15.3	16.8	22.2	21.2	23.3	35.2	33.7	36.8
lmnh	32.00	2	2017	33463250.5	11963	11421	12528	16.1	15.3	16.9	22.3	21.3	23.4	35.7	34.1	37.4
lmnh	32.00	2	2018	33517815	12109	11541	12710	16.1	15.3	16.9	22.4	21.3	23.5	36.1	34.4	37.9
lmnhllc	32.01	1	1990	27606178	1600	1491	1721	4.1	3.8	4.4	5.9	5.5	6.4	5.8	5.4	6.2
lmnhllc	32.01	1	1991	27731738.5	1658	1546	1777	4.1	3.9	4.4	6.1	5.6	6.5	6	5.6	6.4
lmnhllc	32.01	1	1992	27855283	1717	1601	1841	4.2	3.9	4.5	6.2	5.8	6.6	6.2	5.7	6.6
lmnhllc	32.01	1	1993	27957444	1782	1660	1912	4.3	4	4.6	6.3	5.9	6.8	6.4	5.9	6.8
lmnhllc	32.01	1	1994	28038749.5	1855	1727	1992	4.4	4.1	4.7	6.5	6	7	6.6	6.2	7.1
lmnhllc	32.01	1	1995	28116753.5	1938	1806	2080	4.5	4.2	4.8	6.7	6.2	7.1	6.9	6.4	7.4
lmnhllc	32.01	1	1996	28195599	2034	1898	2178	4.6	4.3	5	6.9	6.4	7.4	7.2	6.7	7.7
lmnhllc	32.01	1	1997	28275964	2138	2001	2285	4.8	4.5	5.1	7.1	6.7	7.6	7.6	7.1	8.1
lmnhllc	32.01	1	1998	28361163	2251	2108	2402	4.9	4.6	5.3	7.4	6.9	7.8	7.9	7.4	8.5
lmnhllc	32.01	1	1999	28486063	2364	2215	2523	5.1	4.8	5.4	7.6	7.1	8.1	8.3	7.8	8.9
lmnhllc	32.01	1	2000	28657893.5	2474	2319	2640	5.2	4.9	5.6	7.8	7.3	8.3	8.6	8.1	9.2
lmnhllc	32.01	1	2001	28844405	2569	2412	2739	5.3	5	5.7	7.9	7.4	8.4	8.9	8.4	9.5
lmnhllc	32.01	1	2002	29033407.5	2650	2492	2818	5.4	5	5.7	8	7.5	8.5	9.1	8.6	9.7
lmnhllc	32.01	1	2003	29220241.5	2709	2552	2877	5.4	5.1	5.7	8	7.5	8.5	9.3	8.7	9.8
lmnhllc	32.01	1	2004	29415016.5	2756	2595	2924	5.4	5	5.7	8	7.5	8.5	9.4	8.8	9.9
lmnhllc	32.01	1	2005	29615886	2788	2624	2959	5.3	5	5.7	7.9	7.5	8.4	9.4	8.9	10
lmnhllc	32.01	1	2006	29815994.5	2805	2641	2978	5.3	4.9	5.6	7.8	7.4	8.3	9.4	8.9	10
lmnhllc	32.01	1	2007	30001162.5	2811	2651	2982	5.2	4.9	5.5	7.7	7.3	8.2	9.4	8.8	9.9
lmnhllc	32.01	1	2008	30166090.5	2810	2656	2979	5	4.8	5.4	7.5	7.1	8	9.3	8.8	9.9
lmnhllc	32.01	1	2009	30322692	2809	2657	2971	4.9	4.7	5.2	7.4	7	7.8	9.3	8.8	9.8
lmnhllc	32.01	1	2010	30475789	2806	2655	2964	4.8	4.6	5.1	7.2	6.8	7.6	9.2	8.7	9.7
lmnhllc	32.01	1	2011	30626399	2800	2652	2962	4.7	4.5	5	7.1	6.7	7.5	9.1	8.7	9.7
lmnhllc	32.01	1	2012	30782589.5	2801	2647	2964	4.6	4.4	4.9	6.9	6.5	7.3	9.1	8.6	9.6
lmnhllc	32.01	1	2013	30945466.5	2800	2642	2971	4.5	4.2	4.8	6.8	6.4	7.2	9	8.5	9.6
lmnhllc	32.01	1	2014	31086155	2805	2635	2982	4.4	4.1	4.7	6.6	6.2	7	9	8.5	9.6
lmnhllc	32.01	1	2015	31210477	2803	2624	2992	4.3	4	4.6	6.5	6.1	6.9	9	8.4	9.6
lmnhllc	32.01	1	2016	31332989	2800	2610	3004	4.2	3.9	4.5	6.3	5.9	6.8	8.9	8.3	9.6
lmnhllc	32.01	1	2017	31446345.5	2798	2595	3016	4.1	3.8	4.5	6.2	5.7	6.7	8.9	8.3	9.6
lmnhllc	32.01	1	2018	31500281	2770	2554	3002	4	3.7	4.4	6.1	5.6	6.6	8.8	8.1	9.5
lmnhllc	32.01	2	1990	29102652.5	1167	1064	1289	2.2	2	2.4	3.2	2.9	3.5	4	3.7	4.4
lmnhllc	32.01	2	1991	29243858.5	1217	1109	1338	2.2	2	2.5	3.3	3	3.6	4.2	3.8	4.6
lmnhllc	32.01	2	1992	29384564	1268	1156	1392	2.3	2.1	2.5	3.4	3.1	3.7	4.3	3.9	4.7
lmnhllc	32.01	2	1993	29509640.5	1319	1204	1450	2.4	2.1	2.6	3.5	3.1	3.8	4.5	4.1	4.9
lmnhllc	32.01	2	1994	29620022	1376	1255	1511	2.4	2.2	2.7	3.5	3.2	3.9	4.6	4.2	5.1
lmnhllc	32.01	2	1995	29727493.5	1435	1309	1575	2.5	2.3	2.7	3.6	3.3	4	4.8	4.4	5.3
lmnhllc	32.01	2	1996	29830389.5	1496	1366	1640	2.5	2.3	2.8	3.7	3.4	4.1	5	4.6	5.5
lmnhllc	32.01	2	1997	29931526	1558	1425	1705	2.6	2.4	2.9	3.8	3.5	4.2	5.2	4.8	5.7
lmnhllc	32.01	2	1998	30036624.5	1622	1483	1772	2.7	2.4	2.9	3.9	3.6	4.3	5.4	4.9	5.9
lmnhllc	32.01	2	1999	30191342.5	1680	1540	1838	2.7	2.5	3	4	3.7	4.4	5.6	5.1	6.1
lmnhllc	32.01	2	2000	30404491.5	1741	1596	1903	2.8	2.5	3	4.1	3.7	4.5	5.7	5.2	6.3
lmnhllc	32.01	2	2001	30631830.5	1795	1647	1960	2.8	2.6	3.1	4.1	3.8	4.5	5.9	5.4	6.4
lmnhllc	32.01	2	2002	30860462.5	1842	1692	2008	2.8	2.6	3.1	4.2	3.8	4.5	6	5.5	6.5
lmnhllc	32.01	2	2003	31083389.5	1882	1728	2047	2.8	2.6	3.1	4.2	3.8	4.6	6.1	5.6	6.6
lmnhllc	32.01	2	2004	31319326	1914	1758	2082	2.8	2.6	3.1	4.2	3.8	4.5	6.1	5.6	6.6
lmnhllc	32.01	2	2005	31565612.5	1936	1781	2110	2.8	2.6	3	4.1	3.8	4.5	6.1	5.6	6.7
lmnhllc	32.01	2	2006	31781491	1950	1795	2124	2.8	2.5	3	4.1	3.8	4.5	6.1	5.6	6.7
lmnhllc	32.01	2	2007	31963889.5	1958	1801	2127	2.7	2.5	3	4	3.7	4.4	6.1	5.6	6.7
lmnhllc	32.01	2	2008	32134197	1956	1803	2124	2.7	2.4	2.9	4	3.6	4.3	6.1	5.6	6.6
lmnhllc	32.01	2	2009	32292780	1951	1801	2117	2.6	2.4	2.8	3.9	3.6	4.2	6	5.6	6.6
lmnhllc	32.01	2	2010	32442000.5	1945	1796	2110	2.6	2.4	2.8	3.8	3.5	4.1	6	5.5	6.5
lmnhllc	32.01	2	2011	32596758.5	1942	1792	2106	2.5	2.3	2.7	3.7	3.4	4	6	5.5	6.5
lmnhllc	32.01	2	2012	32754328.5	1937	1786	2104	2.4	2.2	2.7	3.6	3.4	4	5.9	5.5	6.4
lmnhllc	32.01	2	2013	32917445	1934	1779	2104	2.4	2.2	2.6	3.6	3.3	3.9	5.9	5.4	6.4
lmnhllc	32.01	2	2014	33078234.5	1934	1773	2108	2.3	2.1	2.6	3.5	3.2	3.8	5.8	5.4	6.4
lmnhllc	32.01	2	2015	33219169.5	1928	1763	2112	2.3	2.1	2.5	3.4	3.1	3.8	5.8	5.3	6.4
lmnhllc	32.01	2	2016	33346795	1925	1752	2115	2.2	2	2.5	3.4	3.1	3.7	5.8	5.3	6.3
lmnhllc	32.01	2	2017	33463250.5	1921	1740	2120	2.2	2	2.4	3.3	3	3.6	5.7	5.2	6.3
lmnhllc	32.01	2	2018	33517815	1904	1715	2112	2.1	1.9	2.4	3.2	2.9	3.6	5.7	5.1	6.3
lmnhf	32.02	1	1995	28116753.5	589	529	657	1.6	1.4	1.7	2.1	1.9	2.3	2.1	1.9	2.3
lmnhf	32.02	1	1996	28195599	612	553	680	1.6	1.4	1.8	2.2	1.9	2.4	2.2	2	2.4
lmnhf	32.02	1	1997	28275964	638	578	705	1.6	1.5	1.8	2.2	2	2.5	2.3	2	2.5
lmnhf	32.02	1	1998	28361163	665	605	731	1.7	1.5	1.8	2.3	2.1	2.5	2.3	2.1	2.6
lmnhf	32.02	1	1999	28486063	694	634	760	1.7	1.6	1.9	2.3	2.1	2.6	2.4	2.2	2.7
lmnhf	32.02	1	2000	28657893.5	728	665	792	1.8	1.6	1.9	2.4	2.2	2.6	2.5	2.3	2.8
lmnhf	32.02	1	2001	28844405	760	698	826	1.8	1.7	2	2.5	2.3	2.7	2.6	2.4	2.9
lmnhf	32.02	1	2002	29033407.5	794	732	862	1.9	1.7	2	2.6	2.4	2.8	2.7	2.5	3
lmnhf	32.02	1	2003	29220241.5	830	768	899	1.9	1.8	2.1	2.6	2.4	2.8	2.8	2.6	3.1
lmnhf	32.02	1	2004	29415016.5	870	805	939	2	1.8	2.1	2.7	2.5	2.9	3	2.7	3.2
lmnhf	32.02	1	2005	29615886	910	845	982	2	1.9	2.2	2.8	2.6	3	3.1	2.9	3.3
lmnhf	32.02	1	2006	29815994.5	954	885	1026	2.1	1.9	2.2	2.9	2.7	3.1	3.2	3	3.4
lmnhf	32.02	1	2007	30001162.5	995	928	1073	2.1	2	2.3	3	2.7	3.2	3.3	3.1	3.6
lmnhf	32.02	1	2008	30166090.5	1044	971	1123	2.2	2	2.4	3	2.8	3.3	3.5	3.2	3.7
lmnhf	32.02	1	2009	30322692	1092	1016	1175	2.3	2.1	2.4	3.1	2.9	3.4	3.6	3.4	3.9
lmnhf	32.02	1	2010	30475789	1142	1063	1230	2.3	2.2	2.5	3.2	3	3.5	3.7	3.5	4
lmnhf	32.02	1	2011	30626399	1199	1112	1289	2.4	2.2	2.6	3.3	3.1	3.6	3.9	3.6	4.2
lmnhf	32.02	1	2012	30782589.5	1254	1163	1353	2.5	2.3	2.7	3.4	3.2	3.7	4.1	3.8	4.4
lmnhf	32.02	1	2013	30945466.5	1316	1218	1422	2.5	2.3	2.7	3.5	3.3	3.8	4.3	3.9	4.6
lmnhf	32.02	1	2014	31086155	1380	1274	1495	2.6	2.4	2.8	3.6	3.4	3.9	4.4	4.1	4.8
lmnhf	32.02	1	2015	31210477	1446	1333	1572	2.7	2.5	2.9	3.8	3.5	4.1	4.6	4.3	5
lmnhf	32.02	1	2016	31332989	1519	1393	1655	2.8	2.5	3	3.9	3.6	4.2	4.8	4.4	5.3
lmnhf	32.02	1	2017	31446345.5	1594	1457	1743	2.9	2.6	3.1	4	3.7	4.4	5.1	4.6	5.5
lmnhf	32.02	1	2018	31500281	1658	1511	1822	2.9	2.7	3.2	4.1	3.8	4.5	5.3	4.8	5.8
lmnhf	32.02	2	1995	29727493.5	635	554	730	1.4	1.2	1.6	1.9	1.6	2.2	2.1	1.9	2.5
lmnhf	32.02	2	1996	29830389.5	660	581	750	1.4	1.2	1.6	1.9	1.7	2.2	2.2	1.9	2.5
lmnhf	32.02	2	1997	29931526	688	610	772	1.4	1.3	1.6	2	1.8	2.2	2.3	2	2.6
lmnhf	32.02	2	1998	30036624.5	716	640	798	1.5	1.3	1.7	2	1.8	2.3	2.4	2.1	2.7
