Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"64136 Borce, France",64136,0.666666667,COM,Borce,85.8574669,0.98569152,0.676344123
"8095 Chagny, France",8095,1,COM,Chagny,141.7747253,1.478157375,0.676517952
"16421 Vouthon, France",16421,2.166666667,COM,Vouthon,302,3.202668316,0.676519219
"81311 Vénès, France",81311,5.833333333,COM,Vénès,559.1241856,8.622158712,0.676551375
"2B329 Tralonca, France",2B329,1.166666667,COM,Tralonca,72,1.72439908,0.67656419
"12056 Baraqueville, France",12056,19.83333333,COM,Baraqueville,2055.980495,29.31311406,0.676602741
"24215 Jayac, France",24215,2,COM,Jayac,151.2808989,2.95580259,0.676635174
"51212 Dommartin-Lettrée, France",51212,1,COM,Dommartin-Lettrée,89.15789474,1.477835755,0.676665182
"27474 Poses, France",27474,6.333333333,COM,Poses,814.7071969,9.35897697,0.67671214
"24445 Saint-Marcel-du-Périgord, France",24445,1.166666667,COM,Saint-Marcel-du-Périgord,113.3480467,1.724008484,0.676717474
"24050 Borrèze, France",24050,1.833333333,COM,Borrèze,212.6020525,2.709152353,0.676718432
"37162 Mouzay, France",37162,2.833333333,COM,Mouzay,316.2728352,4.186690084,0.676747807
"59259 Ghissignies, France",59259,2,COM,Ghissignies,336,2.955211123,0.676770598
"72173 Luceau, France",72173,8,COM,Luceau,873.4465154,11.82041149,0.676795389
"16133 Étriac, France",16133,1.166666667,COM,Étriac,128.6464647,1.723758074,0.676815781
"25220 Épeugney, France",25220,3.333333333,COM,Épeugney,367,4.924685603,0.67686216
"35160 Loutehel, France",35160,1.666666667,COM,Loutehel,187.4453441,2.462298075,0.676874455
"37112 Gizeux, France",37112,4,COM,Gizeux,289,5.909298586,0.676899287
"63410 Sauvagnat, France",63410,1,COM,Sauvagnat,92.76923077,1.477138148,0.67698475
"39514 Serre-les-Moulières, France",39514,1,COM,Serre-les-Moulières,120.2592593,1.476910326,0.677089179
"16418 Vœuil-et-Giget, France",16418,9.333333333,COM,Vœuil-et-Giget,1105.256626,13.78406367,0.677110434
"60069 Betz, France",60069,3.333333333,COM,Betz,663.6428571,4.922344084,0.677184138
"78007 Aigremont, France",78007,5.166666667,COM,Aigremont,715.436379,7.629032842,0.677237439
"85025 La Boissière-de-Montaigu, France",85025,9.5,COM,La Boissière-de-Montaigu,1472.935655,14.0263811,0.677295158
"14293 Fumichon, France",14293,1.666666667,COM,Fumichon,186.3251748,2.460643939,0.677329475
"53177 La Pellerine, France",53177,2.666666667,COM,La Pellerine,204.8858127,3.937016866,0.677331786
"74307 Villy-le-Pelloux, France",74307,2.166666667,COM,Villy-le-Pelloux,545.2486196,3.198477862,0.677405554
"10074 Chamoy, France",10074,3,COM,Chamoy,348.4518063,4.428466183,0.677435454
