Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"50055 Biniville, France",50055,0.5,COM,Biniville,64,0.948969002,0.5268876
"61348 Réveillon, France",61348,1.666666667,COM,Réveillon,263.6696924,3.162996506,0.526926496
"7081 Dompnac, France",7081,0.333333333,COM,Dompnac,66.375,0.632453171,0.527048245
"24119 Cherval, France",24119,2.5,COM,Cherval,197.4723404,4.743182884,0.527072234
"10015 Aubeterre, France",10015,0.833333333,COM,Aubeterre,208,1.581010928,0.527088914
"3050 La Chabanne, France",3050,1.5,COM,La Chabanne,167.2580645,2.845546633,0.52713949
"55263 Kœur-la-Grande, France",55263,0.5,COM,Kœur-la-Grande,116.6785714,0.948292938,0.527263233
"19268 Toy-Viam, France",19268,0.333333333,COM,Toy-Viam,34.91891892,0.632173541,0.527281374
"12095 Escandolières, France",12095,0.833333333,COM,Escandolières,144.4273504,1.580396465,0.527293848
"76370 Hugleville-en-Caux, France",76370,1.166666667,COM,Hugleville-en-Caux,250,2.212273598,0.527360932
"60669 Verderonne, France",60669,2,COM,Verderonne,362.7653061,3.792454118,0.527363005
"65356 Péré, France",65356,0.333333333,COM,Péré,53.13559322,0.631981563,0.527441547
"32313 Pessoulens, France",32313,0.833333333,COM,Pessoulens,88.37323944,1.57989783,0.527460268
"49076 La Chapelle-Saint-Laud, France",49076,2.333333333,COM,La Chapelle-Saint-Laud,472.790192,4.423632495,0.527469978
"53045 La Brûlatte, France",53045,2.333333333,COM,La Brûlatte,476.8445748,4.423137224,0.52752904
"21097 Boussey, France",21097,0.166666667,COM,Boussey,21.6,0.31591391,0.527569889
"49288 Saint-Jean-de-la-Croix, France",49288,0.833333333,COM,Saint-Jean-de-la-Croix,178,1.579274822,0.527668346
"19156 Palazinges, France",19156,0.833333333,COM,Palazinges,102,1.579273692,0.527668724
"65338 Orignac, France",65338,1.333333333,COM,Orignac,199,2.526574923,0.527723647
"81210 Poudis, France",81210,1.333333333,COM,Poudis,162.3754789,2.526512657,0.527736653
"32115 Dému, France",32115,2.666666667,COM,Dému,277.1615854,5.052558459,0.527785416
"66120 Nahuja, France",66120,0.5,COM,Nahuja,52,0.947347691,0.527789327
"61349 Ri, France",61349,0.833333333,COM,Ri,126.6329114,1.578504314,0.527925915
"18288 Vorly, France",18288,1,COM,Vorly,151.9759036,1.893973603,0.527990463
"25062 Le Bizot, France",25062,0.833333333,COM,Le Bizot,191.010101,1.578234607,0.528016132
"7159 Mirabel, France",7159,2.166666667,COM,Mirabel,458.9020979,4.10335946,0.528022633
"32375 Saint-Élix-Theux, France",32375,1.166666667,COM,Saint-Élix-Theux,71.91011236,2.209227457,0.528088071
"45041 Bordeaux-en-Gâtinais, France",45041,1,COM,Bordeaux-en-Gâtinais,86,1.893142505,0.528222253
"53202 Saint-Berthevin-la-Tannière, France",53202,2.333333333,COM,Saint-Berthevin-la-Tannière,219.2207792,4.416950893,0.528267891
"88017 Aulnois, France",88017,0.666666667,COM,Aulnois,119,1.261973359,0.52827317
"57062 Berg-sur-Moselle, France",57062,1.333333333,COM,Berg-sur-Moselle,280.6974596,2.522944802,0.528482959
