Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"85022 Le Bernard, France",85022,8.666666667,COM,Le Bernard,861.4448308,10.3656307,0.836096415
"5040 Chorges, France",5040,20.83333333,COM,Chorges,2111,24.91670654,0.836119063
"79153 Loubigné, France",79153,1.5,COM,Loubigné,97.84615385,1.793994669,0.836122886
"11437 Villesèquelande, France",11437,6.5,COM,Villesèquelande,565.3621908,7.773400947,0.836184837
"60225 Étouy, France",60225,4.666666667,COM,Étouy,541,5.580815763,0.836197944
"91326 Juvisy-sur-Orge, France",91326,106.8333333,COM,Juvisy-sur-Orge,10308.17892,127.7548321,0.836237124
"19251 Sarran, France",19251,2.666666667,COM,Sarran,217,3.188819743,0.836255067
"2B339 Vallica, France",2B339,0.333333333,COM,Vallica,23,0.398596638,0.836267297
"46206 Montlauzun, France",46206,0.833333333,COM,Montlauzun,85.81355932,0.996476461,0.836279998
"67203 Hochstett, France",67203,2,COM,Hochstett,244.9400545,2.391381335,0.836336711
"75109 Paris 9e Arrondissement, France",75109,305,ARM,Paris 9e Arrondissement,36320.83155,364.6741495,0.836363094
"2400 Laffaux, France",2400,1,COM,Laffaux,102,1.195621112,0.836385365
"92032 Fontenay-aux-Roses, France",92032,163.3333333,COM,Fontenay-aux-Roses,15354.33952,195.2809012,0.836401984
"28052 Bouglainval, France",28052,4.166666667,COM,Bouglainval,492.1808511,4.981600654,0.836411217
"54414 Pagney-derrière-Barine, France",54414,3.833333333,COM,Pagney-derrière-Barine,384,4.583066857,0.836412266
"67492 Traenheim, France",67492,4.333333333,COM,Traenheim,430,5.180855931,0.83641263
"27051 Beaumont-le-Roger, France",27051,27.83333333,COM,Beaumont-le-Roger,1939,33.27525365,0.836457436
"33216 Lados, France",33216,1.333333333,COM,Lados,110.7613636,1.594015674,0.836461871
"80416 Hangest-sur-Somme, France",80416,5.166666667,COM,Hangest-sur-Somme,528.4179688,6.1766715,0.836480727
"27644 Tilly, France",27644,3.833333333,COM,Tilly,365.1184336,4.58264461,0.836489333
"10002 Ailleville, France",10002,1.833333333,COM,Ailleville,180.1687764,2.19165709,0.836505556
"40005 Arboucave, France",40005,1.333333333,COM,Arboucave,129.641791,1.593759472,0.836596335
"57505 Niderviller, France",57505,9.833333333,COM,Niderviller,856.6796886,11.75396809,0.836596906
"26175 Marignac-en-Diois, France",26175,3,COM,Marignac-en-Diois,174.2259615,3.585726077,0.836650635
"39424 Les Planches-en-Montagne, France",39424,1.666666667,COM,Les Planches-en-Montagne,97.81132075,1.992068589,0.836651246
"88491 Les Vallois, France",88491,0.666666667,COM,Les Vallois,67.11864407,0.796820924,0.836658083
"50115 Le Grippon, France",50115,2,COM,Le Grippon,239,2.390437247,0.836667017
"54167 Dommartin-lès-Toul, France",54167,10.16666667,COM,Dommartin-lès-Toul,1201,12.15135584,0.836669323
"57028 Argancy, France",57028,8.5,COM,Argancy,948.4131737,10.15903691,0.836693486
"51244 Faux-Vésigneul, France",51244,1.333333333,COM,Faux-Vésigneul,152.2583333,1.59348785,0.836738939
"41046 Chaumont-sur-Tharonne, France",41046,8.333333333,COM,Chaumont-sur-Tharonne,699.8718146,9.958947904,0.836768443
"48061 Florac Trois Rivières, France",48061,24.33333333,COM,Florac Trois Rivières,1503.838269,29.07874615,0.836808204
"26293 Saint-Avit, France",26293,2.166666667,COM,Saint-Avit,147.9607843,2.589158471,0.836822732
"81152 Mailhoc, France",81152,2.333333333,COM,Mailhoc,212.8533333,2.78784586,0.836966407
"57504 Niderhoff, France",57504,1.833333333,COM,Niderhoff,177.1294964,2.190433747,0.836972739
"23143 Noth, France",23143,4.166666667,COM,Noth,377.6442022,4.978236921,0.83697637
"24339 Preyssac-d'Excideuil, France",24339,1.666666667,COM,Preyssac-d'Excideuil,119,1.991241546,0.836998741
"46003 Alvignac, France",46003,6.666666667,COM,Alvignac,511.8755427,7.964846376,0.837011331
"7177 Plats, France",7177,3.333333333,COM,Plats,488.5985748,3.98241161,0.837013764
"64132 Bizanos, France",64132,46,COM,Bizanos,3274.487552,54.95566197,0.837038412
