"IRIS";"P15_POP";"fdep15"
"020270000";230;2,0377701672863
"020280000";2602;0,300838250702386
"020290000";373;0,639403943583758
"020300000";285;2,73629709729561
"020310000";652;2,36730214933655
"020320000";246;4,33877817918932
"020330000";106;0,691930406091797
"020340000";107;0,649580014721222
"020350000";282;1,1326769450176
"020360000";88;1,88313902778414
"020370000";1440;0,844298485722351
"020380000";63;2,17033332480961
"020390000";170;1,10732915768667
"020400000";179;0,495854757573431
"020410000";816;0,275656462489395
"020420000";396;0,164333102010549
"020430000";71;2,35944546379794
"020440000";26;-0,594142710132946
"020460000";545;0,166100090271729
"020470000";121;0,764604173686172
"020480000";126;-1,52723009752274
"020490000";747;0,149563230272941
"020500000";322;1,54653075533368
"020510000";382;0,287096005938603
"020520000";146;0,783681606197612
"020530000";562;-0,00758406823099173
"020540000";465;-0,13766096973496
"020550000";97;1,57441993202761
"020560000";172;1,27827433084119
"020570000";1443;2,22231816044777
"020580000";815;1,64235462397688
"020590000";2695;3,04820388486388
"020600000";283;0,667380107502074
"020610000";270;2,73581017625595
"020620000";138;0,3735240909116
"020630000";386;1,60095593360876
"020640000";3780;1,52796580739308
"020650000";614;0,992067330568708
"020660000";208;-0,250690522810966
"020670000";211;1,80361115294354
"020680000";111;0,667924474039002
"020690000";118;4,11607004242417
"020700000";443;1,13786462325173
"020710000";644;0,00344915927044654
"020720000";189;1,81795874351764
"020730000";634;0,756675696573958
"020740000";614;1,08647666700398
"020750000";206;-0,328983857832941
"020760000";173;-0,357601961531873
"020770000";396;-0,444668162503041
"020780000";153;1,91332226862931
"020790000";160;0,551320653229701
"020800000";360;-0,0541644129408449
"020810000";486;0,407304015998387
"020820000";109;1,02911829349015
"020830000";729;0,568973090406303
"020840000";260;-1,07445108984431
"020850000";1084;0,414249881564304
"020860000";1075;0,516785341943561
"020870000";29;-1,26565141297886
"020880000";78;0,860473193707501
"020890000";1170;0,766797997454858
"020900000";215;0,387365362716159
"020910000";111;1,50739436770589
"020930000";1250;1,66867126394812
"020940000";426;0,12031718922695
"020950000";5670;3,65890568424489
"020960000";200;-0,0653149675811728
"020970000";260;1,4229887875137
"020980000";379;0,369280620954285
"020990000";241;0,692186852552592
"021000000";134;1,72084646436048
"021010000";198;0,64720337106685
"021020000";192;0,199947467272915
"021030000";1303;2,38658472679777
"021040000";102;-0,629279385570661
"021050000";201;1,96944845579196
"021060000";832;1,42072698364154
"021070000";99;0,790616644120908
"021080000";152;-1,49725906577287
"021090000";493;2,02538098546064
"021100000";2249;1,5520653828553
"021110000";705;0,0161908889376307
"021120000";585;1,09245010328685
"021140000";1439;0,452368581453353
"021150000";219;2,18531294380321
"021160000";141;2,85102642535655
"021170000";68;3,73179803861041
"021180000";119;0,961227772701653
"021190000";346;1,34658803772016
"021200000";197;1,35674933708597
"021210000";252;3,17913863654251
"021220000";53;-0,467476979621856
"021230000";297;1,19213060065947
"021240000";654;1,52206245350596
"021250000";213;1,03146057872371
"021260000";487;1,10221681456742
"021270000";182;1,31334072768989
"021280000";1532;-0,0986498974305394
"021290000";20;1,46816131096196
"021300000";184;0,444838382723901
"021310000";1895;0,520404023984898
"021320000";216;-1,03309538635092
"021330000";421;2,08895513841147
"021340000";873;2,11832596472701
"021350000";1163;2,35557857468547
"021360000";129;2,34882703630501
"021370000";141;1,16753537160833
"021380000";188;-0,853606356818654
"021390000";435;0,65581049921612
"021400000";455;0,68222638987645
"021410000";1813;2,02847940442616
"021420000";243;-0,26788899268006
"021430000";196;2,09153356881497
"021440000";143;-1,05921664692931
"021450000";559;0,403448410591421
"021460000";82;0,533739410341189
"021480000";261;1,74420903822543
"021490000";66;-1,26017128717817
"021500000";67;1,10137230714436
"021510000";114;-1,44903606076082
"021520000";91;-1,19604966836707
"021530000";451;-0,339656902366496
"021540000";357;0,358741263526515
"021550000";178;0,474318176311701
"021560000";247;-0,0657250247117454
"021570000";831;0,520300034144192
"021580000";291;1,30014582571686
"021590000";282;0,227015265754926
"021600000";532;1,78998624831098
"021620000";282;0,177887094517434
"021630000";2657;1,05666776611792
"021640000";319;0,861355763582422
"021650000";1631;1,07364904640507
"021660000";347;0,156415536934294
"021670000";871;0,746890260864389
"021680101";3956;2,1982482724288
"021680201";2240;1,07381961787546
"021680301";140;2,21011652517632
"021680401";2121;1,15634745964863
"021680501";1998;4,27909684582676
"021680601";1810;0,262566731079789
"021680701";2336;2,32745715046582
"021690000";86;-0,422050149769362
"021700000";128;-0,251802483880824
"021710000";85;-0,0589958241278629
